Eb/N0 [dB], num_clusters
-10,12
-9.487179,4
-8.974359,4
-8.461538,18
-7.948718,10
-7.435897,18
-6.923077,12
-6.410256,16
-5.897436,14
-5.384615,16
-4.871795,17
-4.358974,18
-3.846154,16
-3.333333,19
-2.820513,15
-2.307692,17
-1.794872,17
-1.282051,17
-0.769231,17
-0.25641,17
0.25641,17
0.769231,17
1.282051,17
1.794872,17
2.307692,16
2.820513,16
3.333333,16
3.846154,16
4.358974,16
4.871795,16
5.384615,16
5.897436,16
6.410256,16
6.923077,16
7.435897,16
7.948718,16
8.461538,16
8.974359,16
9.487179,16
10,16
