 Eb/N0 [dB],BL,BL var,BER 100,var,BER 1000,var,BER 10000,var
0,0.140899475,0,0.213649215,0.0162731961,0.1936543475,0.0538224355,0.29736828,0.0001000703
0.410256,0.13178885,0,0.2030848875,0.0144912547,0.20383569,0.0622236808,0.29422797,0.0001066475
0.820513,0.122854125,0,0.19228254,0.0167151755,0.18152273,0.0566771492,0.291143115,0.0001312481
1.230769,0.113969525,0,0.1820234675,0.0085788385,0.2257673075,0.0754890857,0.2881462875,0.0001155593
1.641026,0.1052297,0,0.178016315,0.0086825747,0.197128635,0.0771130015,0.2851824525,0.0002001907
2.051282,0.0966184,0,0.1614166375,0.0155101213,0.1648490975,0.0659360753,0.264038705,0.0576266411
2.461538,0.088169925,0,0.1592524975,0.0084429548,0.172209585,0.0758683223,0.27942807,0.0001940662
2.871795,0.079948475,0,0.1461728275,0.0120902294,0.1160717,0.0298672668,0.2570020325,0.0617016876
3.282051,0.071942925,0,0.13816142,0.0117577578,0.138856435,0.0755714034,0.254743385,0.0604286194
3.692308,0.064208525,0,0.1303239925,0.0087565822,0.0998378975,0.0598200019,0.1926914125,0.1014785585
4.102564,0.056784975,0,0.119138635,0.0173909551,0.0898817875,0.0633216637,0.10221945,0.0879944119
4.512821,0.049729025,0,0.1087879075,0.0165117582,0.062683855,0.0083719733,0.0522300375,0.0033190346
4.923077,0.04308635,0,0.1011343575,0.018777808,0.054188005,0.0055467854,0.045602735,0.0025897993
5.333333,0.0368782,0,0.08834599,0.0104757738,0.060531625,0.0168006814,0.0406464075,0.0042380137
5.74359,0.0311724,0,0.082545625,0.0106448796,0.0442480625,0.0092775395,0.033355735,0.0021546244
6.153846,0.02596535,0,0.0783105975,0.0131069064,0.0333358775,0.0081639224,0.027308875,0.0008569194
6.564103,0.02130545,0,0.06836388,0.0131340292,0.0278167975,0.0054788752,0.022446085,0.0012217
6.974359,0.017179875,0,0.055241375,0.0127556391,0.0236933725,0.0061810982,0.018211095,0.001223729
7.384615,0.013608175,0,0.0465693125,0.0141891555,0.0156099375,0.0014458684,0.0160302425,0.0047933449
7.794872,0.01057245,0,0.038031955,0.0192858001,0.0135564175,0.0051474945,0.011430995,0.0008457087
8.205128,0.00801805,0,0.0288993375,0.0178031503,0.0094437125,0.0010905872,0.00845658,0.0004122155
8.615385,0.00592955,0,0.0202789725,0.0057412807,0.006639165,0.0004553916,0.0063014375,0.000344307
9.025641,0.004276975,0,0.015178135,0.0069515869,0.0064715425,0.0048446001,0.0046356525,0.0003506323
9.435897,0.0029977,0,0.02071364,0.0128995143,0.0033192025,0.0002492012,0.003212345,0.0001831895
9.846154,0.0020424,0,0.0110930475,0.0107932976,0.002342885,0.0002971661,0.0022240825,0.0001334498
10.25641,0.001341525,0,0.0056957075,0.0064288149,0.0016988125,0.0004129393,0.001441915,6.39823523845964E-05
10.666667,0.00084555,0,0.0033213925,0.0047941797,0.0009916725,0.0002036867,0.0008964425,4.15298320655031E-05
11.076923,0.0005079,0,0.0010858675,0.0004695245,0.0005624125,0.000048225,0.0005656275,3.74022679236612E-05
11.487179,0.00029255,0,0.0005557825,0.0001662259,0.000314335,1.37143791126119E-05,0.00032021,2.15729164051183E-05
11.897436,0.0001594,0,0.000323185,0.0001067638,0.0001721,8.43485658180123E-06,0.000176285,0.000010762
12.307692,0.000082425,0,0.0001787,6.65066663325314E-05,0.00008947,4.73774442348068E-06,0.000092305,6.76058634866664E-06
12.717949,0.000040325,0,0.00009399,3.9609612680089E-05,4.34775E-05,1.57442449803095E-06,4.36875E-05,4.03249388647329E-06
13.128205,0.000018575,0,4.65375E-05,2.19620703651141E-05,0.000020155,7.51738725296969E-07,0.000020185,1.4923043329771E-06
13.538462,0.000007475,0,2.15275E-05,0.000011064,0.000008365,4.39886348958455E-07,0.00000809,1.01065160498891E-06
13.948718,0.0000031,0,9.4475E-06,5.74349209008674E-06,0.00000347,2.45458754172672E-07,0.00000318,3.5410293544235E-07
14.358974,0.0000012,0,3.8325E-06,2.5643672058944E-06,0.00000143,1.40830867828517E-07,1.2975E-06,0.000000107
14.769231,0.0000004,0,0.000001385,9.74693684076068E-07,4.725E-07,4.92301849591398E-08,0.000000405,6.64580067912563E-08
15.179487,0.000000125,0,0.000000495,4.34101882562659E-07,1.275E-07,3.42580079851574E-08,0.0000001,3.72677996249965E-08
15.589744,0.00000005,0,0.000000145,1.53568659997193E-07,0.000000035,1.74801474695025E-08,3.75E-08,1.76776695296637E-08
16,0,0,6.25E-08,9.37268489933499E-08,0.000000005,1.05409255338946E-08,0,0
