x,16QAM Mean,std,"N: 0.04, P: $2^7$",std,"N: 0.04, P: $2^8$",std,"N: 0.04, P: $2^9$",std
0,0.14103815,0,0.205863988,0.005780076,0.19465012,0.006632535,0.20073839,0.00714377
0.41025641,0.1319662,0,0.195894955,0.006088404,0.184206005,0.006947292,0.190524338,0.007675267
0.820512821,0.123000125,0,0.185487433,0.006151802,0.1734452,0.006991059,0.1798215,0.007899231
1.230769231,0.114122775,0,0.17517896,0.006427114,0.162691643,0.007077212,0.16913143,0.008172129
1.641025641,0.10536495,0,0.164540205,0.006729536,0.151558508,0.00721242,0.1582296,0.008377447
2.051282051,0.096767625,0,0.153764893,0.006872752,0.1406263,0.007166666,0.14706268,0.008360353
2.461538462,0.08831115,0,0.14292357,0.006934554,0.12952121,0.007087775,0.136040243,0.008449366
2.871794872,0.0800463,0,0.131927965,0.007008126,0.118523855,0.00692706,0.124826688,0.008349258
3.282051282,0.072020525,0,0.121210163,0.007002748,0.10773007,0.006749717,0.113872245,0.008240888
3.692307692,0.064289175,0,0.11044985,0.007036179,0.097064095,0.00653851,0.10307737,0.007985459
4.102564103,0.0568187,0,0.09988782,0.006939126,0.086698015,0.006254212,0.092439595,0.007719673
4.512820513,0.049848325,0,0.089741185,0.006800968,0.076855658,0.005942359,0.082250543,0.007356444
4.923076923,0.043104675,0,0.079752458,0.00670778,0.067304233,0.00559444,0.072323043,0.006919952
5.333333333,0.036931,0,0.070339995,0.006461925,0.058408295,0.005211881,0.062969008,0.00648004
5.743589744,0.03127405,0,0.061420563,0.006185678,0.05013558,0.004862886,0.054254428,0.005964588
6.153846154,0.026044525,0,0.05295559,0.005832295,0.042399953,0.004413313,0.046061805,0.005397529
6.564102564,0.021372,0,0.045134923,0.005485289,0.035370715,0.003997864,0.03857572,0.0048388
6.974358974,0.01722825,0,0.03798149,0.005055016,0.029086555,0.003556565,0.03180095,0.004263547
7.384615385,0.013662475,0,0.031585158,0.004636252,0.02358693,0.003157508,0.02582728,0.003715822
7.794871795,0.010592575,0,0.02581872,0.004203788,0.018734008,0.002764845,0.020573273,0.003169692
8.205128205,0.008051275,0,0.020804058,0.003724328,0.014643433,0.002370538,0.016082023,0.002651989
8.615384615,0.0059549,0,0.016492683,0.003244491,0.011232898,0.002012614,0.012327513,0.002187654
9.025641026,0.004324725,0,0.0128464,0.002769719,0.008447098,0.00166896,0.009249053,0.001772588
9.435897436,0.0030122,0,0.00980826,0.002344484,0.006203065,0.001380745,0.00676182,0.001390406
9.846153846,0.0020561,0,0.007366565,0.001937149,0.004462265,0.001097404,0.00483999,0.001079532
10.25641026,0.001347575,0,0.00538055,0.001551946,0.00312164,0.000860163,0.003354855,0.00081207
10.66666667,0.0008458,0,0.003849938,0.0012134,0.002127373,0.000654636,0.002265528,0.000597206
11.07692308,0.000505525,0,0.00270023,0.000930262,0.001407853,0.000488843,0.00147516,0.000420691
11.48717949,0.0002978,0,0.001837058,0.000693012,0.000909695,0.000354315,0.00093515,0.000289711
11.8974359,0.00016,0,0.00122184,0.00049523,0.000568455,0.000248348,0.000574315,0.000194254
12.30769231,8.27E-05,0,0.000786125,0.000344584,0.000344888,0.000169628,0.000336005,0.000123467
12.71794872,4.12E-05,0,0.000490368,0.00023312,0.000201115,0.000113814,0.000190693,7.64E-05
13.12820513,1.79E-05,0,0.000298763,0.000154302,0.00011438,7.20E-05,0.000104143,4.55E-05
13.53846154,7.63E-06,0,0.00017493,9.73E-05,6.13E-05,4.30E-05,0.000052885,2.47E-05
13.94871795,3.00E-06,0,0.00009695,5.79E-05,0.000031515,2.57E-05,0.00002578,1.36E-05
14.35897436,1.53E-06,0,5.25E-05,3.27E-05,0.000016305,1.51E-05,0.00001267,6.87E-06
14.76923077,3.25E-07,0,2.76E-05,1.93E-05,8.06E-06,7.79E-06,5.67E-06,3.22E-06
15.17948718,1.00E-07,0,1.32E-05,9.99E-06,3.53E-06,4.13E-06,2.17E-06,1.34E-06
15.58974359,2.50E-08,0,0.00000623,5.02E-06,0.00000147,2.00E-06,9.13E-07,6.26E-07
16,0,0,0.00000295,2.58E-06,6.48E-07,8.38E-07,2.98E-07,2.04E-07
