Eb/N0 [dB],Number of clusters,
0,14.1,5.9338951045
0.410256,11.6,6.2574400161
0.820513,13.5,5.7783119411
1.230769,8.3,5.677440738
1.641026,10.5,6.3639610307
2.051282,12,5.7348835114
2.461538,10.9,5.6460408941
2.871795,14.4,3.5962943891
3.282051,12.9,5.7047738294
3.692308,16,4.5946829174
4.102564,14.8,3.9944405811
4.512821,16.6,1.3498971154
4.923077,17,1.3333333333
5.333333,15.2,2.4855135843
5.74359,16.6,1.7763883459
6.153846,16.7,1.4181364924
6.564103,16.9,1.4491376746
6.974359,16.5,1.0801234497
7.384615,17.1,0.8755950358
7.794872,16.9,0.8755950358
8.205128,17.2,0.632455532
8.615385,17.1,0.994428926
9.025641,16.6,0.9660917831
9.435897,16.8,0.7888106377
9.846154,16.8,0.7888106377
10.25641,17.1,1.1972189997
10.666667,17,1.4142135624
11.076923,16.5,0.7071067812
11.487179,16.2,0.4216370214
11.897436,16.1,0.316227766
12.307692,16.1,0.316227766
12.717949,16,0
13.128205,16,0
13.538462,16,0
13.948718,16,0
14.358974,16,0
14.769231,16,0
15.179487,16,0
15.589744,16,0
16,16,0
