x,BER Mean unrestricted,std,
1,4.94E-01,7.97E-03,
2,5.02E-01,9.17E-03,
3,5.00E-01,5.87E-03,
4,5.00E-01,1.40E-02,
5,4.97E-01,1.33E-02,
6,4.98E-01,1.07E-02,
7,5.03E-01,6.36E-03,
8,4.99E-01,8.33E-03,
9,4.99E-01,1.21E-02,
10,5.01E-01,9.62E-03,
11,4.96E-01,1.04E-02,
12,4.98E-01,1.02E-02,
13,4.99E-01,1.07E-02,
14,4.95E-01,1.29E-02,
15,4.93E-01,6.46E-03,
16,5.01E-01,8.79E-03,
17,5.00E-01,1.32E-02,
18,5.02E-01,7.95E-03,
19,4.98E-01,1.09E-02,
20,4.98E-01,1.03E-02,
21,4.97E-01,1.19E-02,
22,5.00E-01,5.68E-03,
23,5.00E-01,1.47E-02,
24,4.96E-01,1.00E-02,
25,4.94E-01,1.17E-02,
26,4.97E-01,9.99E-03,
27,4.98E-01,1.04E-02,
28,4.95E-01,1.02E-02,
29,4.96E-01,8.42E-03,
30,4.95E-01,1.27E-02,
31,4.96E-01,1.20E-02,
32,5.03E-01,1.11E-02,
33,4.94E-01,1.02E-02,
34,4.96E-01,7.68E-03,
35,4.96E-01,1.32E-02,
36,4.99E-01,1.33E-02,
37,4.95E-01,1.50E-02,
38,4.99E-01,1.44E-02,
39,4.99E-01,1.28E-02,
40,4.88E-01,1.20E-02,
41,4.92E-01,9.86E-03,
42,4.92E-01,1.02E-02,
43,4.90E-01,1.26E-02,
44,4.91E-01,1.00E-02,
45,4.93E-01,1.46E-02,
46,4.94E-01,1.58E-02,
47,4.96E-01,1.42E-02,
48,4.93E-01,1.04E-02,
49,4.87E-01,1.17E-02,
50,4.91E-01,1.65E-02,
51,4.87E-01,1.33E-02,
52,4.90E-01,1.21E-02,
53,4.92E-01,1.08E-02,
54,4.86E-01,1.43E-02,
55,4.87E-01,1.32E-02,
56,4.85E-01,1.52E-02,
57,4.92E-01,9.71E-03,
58,4.90E-01,1.67E-02,
59,4.84E-01,2.12E-02,
60,4.82E-01,1.58E-02,
61,4.91E-01,2.05E-02,
62,4.86E-01,2.13E-02,
63,4.79E-01,1.90E-02,
64,4.75E-01,1.81E-02,
65,4.81E-01,2.36E-02,
66,4.78E-01,1.77E-02,
67,4.74E-01,1.98E-02,
68,4.74E-01,2.06E-02,
69,4.80E-01,2.13E-02,
70,4.81E-01,2.69E-02,
71,4.70E-01,2.33E-02,
72,4.80E-01,2.28E-02,
73,4.74E-01,2.28E-02,
74,4.68E-01,2.74E-02,
75,4.74E-01,2.53E-02,
76,4.69E-01,2.36E-02,
77,4.65E-01,3.73E-02,
78,4.72E-01,2.79E-02,
79,4.73E-01,2.80E-02,
80,4.58E-01,2.74E-02,
81,4.61E-01,3.19E-02,
82,4.58E-01,3.38E-02,
83,4.57E-01,3.46E-02,
84,4.53E-01,3.36E-02,
85,4.58E-01,3.22E-02,
86,4.54E-01,3.87E-02,
87,4.53E-01,3.65E-02,
88,4.55E-01,3.61E-02,
89,4.54E-01,3.59E-02,
90,4.51E-01,4.22E-02,
91,4.42E-01,3.58E-02,
92,4.42E-01,3.28E-02,
93,4.46E-01,3.40E-02,
94,4.45E-01,3.76E-02,
95,4.39E-01,3.55E-02,
96,4.35E-01,3.94E-02,
97,4.37E-01,4.47E-02,
98,4.32E-01,3.33E-02,
99,4.34E-01,4.43E-02,
100,4.34E-01,4.64E-02,
101,4.25E-01,4.14E-02,
102,4.23E-01,4.18E-02,
103,4.19E-01,3.98E-02,
104,4.27E-01,4.84E-02,
105,4.23E-01,4.39E-02,
106,4.23E-01,4.35E-02,
107,4.16E-01,5.06E-02,
108,4.14E-01,4.24E-02,
109,4.08E-01,3.81E-02,
110,4.14E-01,4.31E-02,
111,4.13E-01,4.37E-02,
112,4.09E-01,4.83E-02,
113,4.10E-01,3.87E-02,
114,4.04E-01,4.22E-02,
115,4.07E-01,5.02E-02,
116,4.06E-01,4.63E-02,
117,3.98E-01,4.63E-02,
118,3.94E-01,5.18E-02,
119,3.97E-01,5.11E-02,
120,3.96E-01,4.97E-02,
121,3.90E-01,4.97E-02,
122,3.90E-01,5.32E-02,
123,3.84E-01,4.89E-02,
124,3.86E-01,4.97E-02,
125,3.82E-01,5.32E-02,
126,3.84E-01,5.34E-02,
127,3.75E-01,5.51E-02,
128,3.83E-01,5.61E-02,
129,3.73E-01,5.95E-02,
130,3.75E-01,6.38E-02,
131,3.69E-01,5.87E-02,
132,3.64E-01,6.12E-02,
133,3.63E-01,6.09E-02,
134,3.64E-01,5.98E-02,
135,3.68E-01,6.17E-02,
136,3.56E-01,6.12E-02,
137,3.60E-01,6.06E-02,
138,3.50E-01,5.95E-02,
139,3.53E-01,5.93E-02,
140,3.49E-01,6.10E-02,
141,3.42E-01,6.70E-02,
142,3.49E-01,6.41E-02,
143,3.41E-01,6.48E-02,
144,3.43E-01,6.66E-02,
145,3.33E-01,6.51E-02,
146,3.32E-01,5.51E-02,
147,3.27E-01,6.59E-02,
148,3.32E-01,6.51E-02,
149,3.28E-01,6.70E-02,
150,3.22E-01,6.59E-02,
151,3.21E-01,6.35E-02,
152,3.20E-01,6.56E-02,
153,3.14E-01,6.78E-02,
154,3.11E-01,6.51E-02,
155,3.09E-01,6.46E-02,
156,3.06E-01,6.85E-02,
157,3.10E-01,6.59E-02,
158,3.05E-01,6.83E-02,
159,3.02E-01,6.54E-02,
160,2.97E-01,6.94E-02,
161,2.99E-01,7.09E-02,
162,2.85E-01,7.37E-02,
163,2.92E-01,7.74E-02,
164,2.84E-01,7.43E-02,
165,2.82E-01,6.83E-02,
166,2.84E-01,7.36E-02,
167,2.81E-01,7.58E-02,
168,2.76E-01,7.29E-02,
169,2.72E-01,8.01E-02,
170,2.68E-01,7.74E-02,
171,2.70E-01,7.82E-02,
172,2.70E-01,6.99E-02,
173,2.67E-01,7.78E-02,
174,2.60E-01,8.43E-02,
175,2.52E-01,7.93E-02,
176,2.48E-01,8.69E-02,
177,2.51E-01,8.63E-02,
178,2.48E-01,7.63E-02,
179,2.47E-01,8.55E-02,
180,2.42E-01,9.08E-02,
181,2.38E-01,8.73E-02,
182,2.34E-01,9.78E-02,
183,2.32E-01,8.82E-02,
184,2.29E-01,9.55E-02,
185,2.26E-01,9.89E-02,
186,2.20E-01,1.04E-01,
187,2.12E-01,9.70E-02,
188,2.20E-01,1.06E-01,
189,2.10E-01,1.03E-01,
190,2.05E-01,1.05E-01,
191,2.07E-01,1.09E-01,
192,2.04E-01,1.10E-01,
193,1.95E-01,1.12E-01,
194,1.98E-01,1.13E-01,
195,1.95E-01,1.16E-01,
196,1.94E-01,1.15E-01,
197,1.89E-01,1.15E-01,
198,1.87E-01,1.20E-01,
199,1.86E-01,1.20E-01,
200,1.83E-01,1.24E-01,
201,1.81E-01,1.29E-01,
202,1.80E-01,1.19E-01,
203,1.78E-01,1.27E-01,
204,1.77E-01,1.26E-01,
205,1.74E-01,1.29E-01,
206,1.72E-01,1.26E-01,
207,1.70E-01,1.28E-01,
208,1.67E-01,1.32E-01,
209,1.68E-01,1.32E-01,
210,1.64E-01,1.32E-01,
211,1.64E-01,1.31E-01,
212,1.61E-01,1.36E-01,
213,1.58E-01,1.34E-01,
214,1.60E-01,1.36E-01,
215,1.60E-01,1.38E-01,
216,1.61E-01,1.39E-01,
217,1.55E-01,1.37E-01,
218,1.58E-01,1.40E-01,
219,1.56E-01,1.39E-01,
220,1.53E-01,1.41E-01,
221,1.51E-01,1.36E-01,
222,1.49E-01,1.40E-01,
223,1.49E-01,1.39E-01,
224,1.50E-01,1.41E-01,
225,1.48E-01,1.41E-01,
226,1.45E-01,1.41E-01,
227,1.47E-01,1.38E-01,
228,1.46E-01,1.42E-01,
229,1.46E-01,1.43E-01,
230,1.45E-01,1.48E-01,
231,1.46E-01,1.44E-01,
232,1.48E-01,1.43E-01,
233,1.43E-01,1.43E-01,
234,1.46E-01,1.45E-01,
235,1.44E-01,1.41E-01,
236,1.41E-01,1.44E-01,
237,1.41E-01,1.47E-01,
238,1.44E-01,1.46E-01,
239,1.41E-01,1.48E-01,
240,1.40E-01,1.44E-01,
241,1.42E-01,1.50E-01,
242,1.42E-01,1.51E-01,
243,1.38E-01,1.44E-01,
244,1.37E-01,1.48E-01,
245,1.43E-01,1.53E-01,
246,1.38E-01,1.47E-01,
247,1.39E-01,1.44E-01,
248,1.39E-01,1.45E-01,
249,1.41E-01,1.49E-01,
250,1.40E-01,1.51E-01,
251,1.42E-01,1.49E-01,
252,1.36E-01,1.49E-01,
253,1.38E-01,1.46E-01,
254,1.33E-01,1.46E-01,
255,1.35E-01,1.47E-01,
256,1.39E-01,1.45E-01,
257,1.33E-01,1.44E-01,
258,1.34E-01,1.41E-01,
259,1.33E-01,1.47E-01,
260,1.34E-01,1.45E-01,
261,1.35E-01,1.45E-01,
262,1.36E-01,1.48E-01,
263,1.34E-01,1.46E-01,
264,1.33E-01,1.42E-01,
265,1.31E-01,1.46E-01,
266,1.35E-01,1.42E-01,
267,1.32E-01,1.41E-01,
268,1.29E-01,1.39E-01,
269,1.28E-01,1.35E-01,
270,1.29E-01,1.45E-01,
271,1.28E-01,1.42E-01,
272,1.26E-01,1.39E-01,
273,1.30E-01,1.41E-01,
274,1.25E-01,1.37E-01,
275,1.27E-01,1.36E-01,
276,1.28E-01,1.41E-01,
277,1.25E-01,1.34E-01,
278,1.24E-01,1.34E-01,
279,1.24E-01,1.40E-01,
280,1.24E-01,1.33E-01,
281,1.24E-01,1.35E-01,
282,1.23E-01,1.31E-01,
283,1.17E-01,1.27E-01,
284,1.23E-01,1.34E-01,
285,1.19E-01,1.29E-01,
286,1.17E-01,1.28E-01,
